id,sn,title,worldwide,india_net,india_gross,overseas,budget,verdict
316,316,Kaminey,70.4,41.3,55.75,14.65,33,"Above Average"
317,317,"Chashme Baddoor",59.07,41.27,55.71,3.36,22,Hit
318,318,Pagalpanti,51,41.2,47,4,60,Flop
319,319,"Atithi Tum Kab Jaoge?",57,41.11,55.51,1.49,20,Hit
320,320,Wazir,78.6,41.05,55.42,23.18,35,Average
321,321,"Batti Gul Meter Chalu",58.4,40.88,52.4,6,55,Flop
322,322,"Phir Hera Pheri",69.13,40.82,55.11,14.02,18,SuperHit
323,323,"Matru Ki Bijlee Ka Mandola",62.56,40.5,54.68,7.88,43,Flop
324,324,"Anjaana Anjaani",68.5,40.26,54.35,14.15,38,Average
325,325,"Bhagam Bhag",67.83,40.25,54.47,13.36,32,Hit
326,326,Yaariyan,54.7,40.01,54.02,0.68,16,Hit
327,327,Shamshera,60.75,39.94,47.75,13,150,Disaster
328,328,Aarakshan,64.4,39.8,53.73,10.67,45,Flop
329,329,"Love Aaj Kal",56.9,39.76,46.9,10,60,Flop
330,330,"Antim: The Final Truth",58.5,39.57,46.8,11.7,35,None
331,331,"Ek Main Aur Ekk Tu",73.4,39.47,53.28,20.12,32,Average
332,332,"Khel Khel Mein",57.05,39.34,47.05,10,1,None
333,333,Border,55.5,39.3,53.1,2.4,10,"All Time Blockbuster"
334,334,"Bhoothnath Returns",58.32,39.15,52.99,5.33,32,Average
335,335,Tevar,56.6,39.07,52.74,3.86,45,Flop
336,336,"Hum Saath-Saath Hain: We Stand United",80.58,39.03,65.2,15.38,17,Blockbuster
337,337,"Kal Ho Naa Ho",82.05,38.85,52.45,29.6,28,Hit
338,338,"Khatta Meetha",62.8,38.67,52.2,10.6,35,Average
339,339,Blue,63.9,38.66,52.06,11.84,75,Flop
340,340,Cirkus,60.6,38.64,45.6,15,70,Flop
341,341,"A Flying Jatt",56.15,38.57,52.07,4.08,45,Flop
342,342,"Ta Ra Rum Pum",68.61,38.24,51.66,16.95,28,"Above Average"
343,343,"Hasee Toh Phasee",63.4,37.36,51.9,11.5,25,Average
344,344,"Main Hoon Na",70.4,37.3,50.36,20.04,25,Hit
345,345,MOM,65,37.28,51.8,13.2,35,Average
346,346,"Namastey London",71.02,37.27,51.78,19.24,21,SuperHit
347,347,"Shaadi Ke Side Effects",69.7,37.24,50.27,19.43,41,Flop
348,348,"Madgaon Express",46.9,36.81,43.4,3.5,1,None
349,349,"Naam Shabana",55,36.78,48,7,25,"Above Average"
350,350,"Tanu Weds Manu",53.6,36.62,49.44,4.16,20,Hit
351,351,"Bachna Ae Haseeno",62,36.57,47,15,23,Hit
352,352,"Vicky Vidya Ka Woh Wala Video",49,36.44,42,7,1,None
353,353,"Phata Poster Nikla Hero",63.14,36.37,49.1,14.04,40,Flop
354,354,"Thank God",48.99,36.35,42.49,6.5,70,Flop
355,355,"Mr. & Mrs. Mahi",51.95,36.34,42.45,9.5,1,None
356,356,Fukrey,50.7,36.25,48.94,1.76,17,Hit
357,357,Mastizaade,51,36.16,48.74,2.26,30,Average
358,358,"Bunty Aur Babli",62.93,36.11,50.51,12.42,12,SuperHit
359,359,"Tumhari Sulu",50.76,36.09,46.27,4.49,17,Hit
360,360,"Bullett Raja",53.6,36.05,48.67,4.93,51,Flop
361,361,"Ramaiya Vastavaiya",50,36,48.6,1.4,38,Flop
362,362,"Ghayal Once Again",57.6,35.74,48.25,9.35,50,Flop
363,363,Yodha,53.68,35.74,42.18,11.5,1,None
364,364,"Force 2",58.7,35.7,48.2,10.5,40,Flop
365,365,Mardaani,59.3,35.65,48.11,11.19,20,Hit
366,366,"Finding Fanny",63.54,35.61,48.07,15.47,25,Average
367,367,"Runway 34",50.7,35.49,41.7,9,60,Flop
368,368,"Vicky Donor",54.66,35.32,47.68,6.98,10,Hit
369,369,"Badmaash Company",50.96,34.98,47.22,3.74,20,"Above Average"
370,370,Chhapaak,55.5,34.93,40.5,15,50,Flop
371,371,"Dil To Pagal Hai",58.61,34.89,47.24,11.37,9,Blockbuster
372,372,"Godzilla x Kong: The New Empire",4566.06,34.7,134.41,2990,1,None
373,373,"English Vinglish",83.6,34.52,46.6,37,20,Hit
374,374,"Judgementall Hai Kya",49.5,34.45,41.1,8.4,35,Average
375,375,"Hamari Adhuri Kahani",51.9,34.43,46.14,5.76,38,"Below Average"
376,376,"Lagaan: Once Upon a Time in India",58.05,34.35,46.39,11.66,25,Hit
377,377,"Bareilly Ki Barfi",58.62,34.27,47.86,10.76,20,Hit
378,378,"Mission Raniganj",46,34.17,40.4,5.6,1,None
379,379,"Sarkar Raj",57.95,34.05,45.97,11.98,25,Average
380,380,"Yamla Pagla Deewana 2",48.4,33.97,45.86,2.54,30,Average
381,381,"Mission Impossible – Dead Reckoning Part One",4725,33.89,131.25,3290,1,SuperHit
382,382,Panipat,49,33.87,40,9,80,Disaster
383,383,Hero,49,33.47,45.19,3.81,32,Average
384,384,"Bell Bottom",53.7,33.31,39.4,14.3,180,Flop
385,385,Azhar,50.1,33.16,44.64,5.46,38,Flop
386,386,"Kill Dil",58.6,33.12,44.71,13.89,40,Flop
387,387,Dhamaal,51.3,33.06,45.6,5.7,17,Hit
388,388,"Kahaani 2",55.9,33.03,44.6,11.3,25,Average
389,389,"Ladies vs Ricky Bahl",49.4,32.97,44.5,4.9,20,Average
390,390,Uunchai,48.32,32.9,38.82,9.5,45,Hit
391,391,"Munna Michael",48.28,32.88,45.68,2.6,41,Flop
392,392,Ghanchakkar,47,32.85,44.34,2.66,29,"Below Average"
393,393,"Jai Gangaajal",49.6,32.77,44.24,5.36,33,"Below Average"
394,394,Rascals,49.1,32.6,44.01,5.09,45,Flop
395,395,"Jolly LLB",46,32.43,43.78,2.22,12,Hit
396,396,NH10,43.9,32.18,43.44,0.46,15,Hit
397,397,Soorma,47,32.04,41,6,32,"Above Average"
398,398,"Commando 3",9.8,32.04,7.8,2,40,"Above Average"
399,399,Shehzada,47.8,32.02,37.8,10,65,Flop
400,400,Dhoom,50.5,31.45,46.5,4,11,SuperHit
401,401,"Karthikeya 2",117.87,31.35,102.37,15.5,15,Blockbuster
402,402,"Thor: Love And Thunder",6295,31.33,125.75,3455,1900,Hit
403,403,"Baar Baar Dekho",62.6,31.24,42.17,20.43,53,Flop
404,404,Vivah,48.61,31.2,43.68,4.93,8,Blockbuster
405,405,"Patiala House",55,31.17,42.05,12.95,30,Flop
406,406,"Bhoot Part One",39.5,31.1,36.5,3,50,Flop
407,407,"Doctor Strange In The Multiverse Of Madness",8000,30.98,158.7,4500,1500,Hit
408,408,"Jab We Met",48.87,30.85,41.65,7.22,15,Hit
409,409,Highway,52.44,30.65,41.37,11.07,25,Hit
410,410,Thappad,43,30.53,36,7,22,Average
411,411,Talvar,47.2,30.49,41.16,6.04,15,Hit
412,412,Delhi-6,50.11,30.43,39.55,10.56,40,Flop
413,413,"Raaz Reboot",43,30.31,40.91,2.09,31,Flop
414,414,"Peepli Live",47.78,30.27,40.86,6.92,12,Hit
415,415,Paa,46.91,30.25,40.84,6.07,18,Hit
416,416,"Jism 2",42.59,30.23,40.81,1.78,11,Hit
417,417,Ittefaq,51.47,30.21,38.73,12.74,20,Average
418,418,"Dum Laga Ke Haisha",42.79,30.01,40.51,2.28,12,Hit
419,419,Jannat,40.39,29.93,40.39,0,10,SuperHit
420,420,"Golmaal: Fun Unlimited",46.7,29.54,39.88,6.82,11,SuperHit
421,421,Mausam,52.29,29.53,39.87,12.42,45,Flop
422,422,"Shootout at Lokhandwala",44.76,29.5,39.83,4.93,17,"Above Average"
423,423,Tashan,51.6,29.44,39.61,11.99,31,Average
424,424,"Chandni Chowk to China",53.45,29.42,37.78,15.67,65,Disaster
425,425,"Mujhse Shaadi Karogi",55.97,29.24,39.47,16.5,19,Hit
426,426,Guzaarish,53.85,29.1,39.29,14.56,55,Disaster
427,427,"Action Replayy",48,29.06,39.23,8.77,55,Flop
428,428,"Garam Masala",54.66,29.02,39.15,15.51,17,Hit
429,429,Lootera,46.3,29,39.15,7.15,30,Flop
430,430,"Dil Toh Baccha Hai Ji",40.8,28.92,39.04,1.76,27,"Below Average"
431,431,"Ferrari Ki Sawaari",44.61,28.92,37.69,6.92,15,Hit
432,432,"Happy Bhaag Jayegi",46.5,28.82,40,6.5,20,Hit
433,433,Akira,43.9,28.76,38.83,5.07,30,Flop
434,434,Pari,39,28.7,36.67,2.33,30,"Above Average"
435,435,Players,47.2,28.67,38.7,8.5,55,Disaster
436,436,Jigra,46.15,28.65,34.15,12,1,None
437,437,"London Dreams",45.34,28.62,38.64,6.7,45,Flop
438,438,"PM Narendra Modi",35.2,28.51,33.7,1.5,20,"Above Average"
439,439,Ishqiya,39.84,28.32,38.23,1.61,18,Hit
440,440,Baazaar,40,28.26,36,4,35,"Below Average"
441,441,"Kyaa Kool Hain Hum 3",38,28.01,36.73,1.27,25,Average
442,442,"Doctor G",44.01,27.98,33.01,11,25,None
443,443,"No Problem",44.2,27.92,37.56,6.64,35,Flop
444,444,Manmarziyaan,41.5,27.8,35.5,6,30,Flop
445,445,"Wake Up Sid",47,27.74,36,11,18,Hit
446,446,"No One Killed Jessica",43.9,27.66,37.34,6.56,15,Hit
447,447,"Mangal Pandey: The Rising",51.13,27.66,37.34,13.79,34,Flop
448,448,"Sanam Re",39,27.65,37.33,1.67,25,Average
449,449,Panga,40,27.34,32,8,49,Flop
450,450,"Dedh Ishqiya",43.73,27.24,36.77,6.96,35,Flop
451,451,Sarbjit,41.5,27.21,36.74,4.76,30,Flop
452,452,Leo,605.9,27.17,401.9,204,250,Blockbuster
453,453,Force,40.28,27.16,36.66,3.62,28,Flop
454,454,"Jawaani Jaaneman",42,27.15,32.5,9.5,40,None
455,455,"Jhoom Barabar Jhoom",48.1,27.05,36.52,11.58,25,"Below Average"
456,456,"Hate Story 2",36.4,26.96,36.4,0,15,"Above Average"
457,457,"Detective Byomkesh Bakshy",43.9,26.83,36.22,7.68,35,Flop
458,458,Tadap,33,26.81,30.9,2.1,20,None
459,459,"Malamaal Weekly",41.7,26.7,36.05,5.65,6,SuperHit
460,460,"Raja Natwarlal",44.27,26.6,35.91,8.36,45,Disaster
