id,sn,title,worldwide,india_net,india_gross,overseas,budget,verdict
886,886,"Bank Chor",10.17,7.32,10.17,0,15,Flop
887,887,"The Legend of Bhagat Singh",11.07,7.32,10.24,0.83,18,Disaster
888,888,Baazigar,13.9,7.3,13.53,0.37,2,SuperHit
889,889,"Main Aurr Mrs Khanna",14.41,7.28,9.83,4.58,28,Disaster
890,890,Jailer,604.5,7.24,408.5,196,200,"All Time Blockbuster"
891,891,Zeher,10.69,7.2,9.72,0.97,5,Average
892,892,Deewana,13,7.2,13,0,4,Hit
893,893,"Amar Akbar Anthony",NULL,7.2,0,NULL,1,Blockbuster
894,894,"Godzilla vs. Kong",3800,7.2,59,2900,1300,Hit
895,895,"The Flash",2220,7.14,35.5,1330,1,None
896,896,"Shang-Chi and the Legend of the Ten Rings",930,7.12,12.63,410,1150,None
897,897,"Aap Ki Khatir",14,7.1,11,3,15,Flop
898,898,"Raman Raghav 2.0",10.65,7.03,9.52,1.13,10,Flop
899,899,"Jaal: The Trap",11.49,7.01,10.9,0.59,10,Flop
900,900,Dil,17,7,12,5,2,Blockbuster
901,901,"Knock Out",10.32,6.98,9.42,0.9,25,Disaster
902,902,Laadla,12.85,6.98,12.17,0.68,3,Hit
903,903,Kalyug,9.55,6.97,9.41,0.14,4,"Above Average"
904,904,Chocolate,10.5,6.95,9.85,0.65,9,Flop
905,905,"Akele Hum Akele Tum",12.2,6.94,11.58,0.62,4.5,"Below Average"
906,906,Suhaag,12.05,6.92,11.7,0.35,3,Hit
907,907,"Khamoshi: The Musical",14.25,6.88,11.6,2.65,6,Flop
908,908,"Thank You For Coming",9.6,6.87,8,1.6,1,None
909,909,Goodbye,10.55,6.82,8.05,2.5,25,Flop
910,910,Prassthanam,10.2,6.8,8.2,2,40,Disaster
911,911,Sapoot,12,6.8,10,2,5.5,Average
912,912,"Jeena Sirf Merre Liye",12,6.8,10.2,1.8,8,Flop
913,913,Deewane,12.15,6.79,10.58,1.57,8,Flop
914,914,Armaan,13.8,6.71,9.36,4.44,8,Flop
915,915,"Dil Ne Jise Apna Kahaa",12.79,6.7,9.38,3.41,10,Flop
916,916,Sonchiriya,8.5,6.66,7.8,0.7,30,Disaster
917,917,"Kahin Pyaar Na Ho Jaaye",13.47,6.55,11.32,2.15,8,Flop
918,918,Sooryavansham,12.55,6.52,11.3,1.25,7,Flop
919,919,"Bhaiaji Superhit",8.2,6.5,8.2,0,40,Disaster
920,920,Daraar,10.5,6.5,10,0.5,5.2,"Below Average"
921,921,Army,11.25,6.48,10.97,0.28,4,Average
922,922,Vijaypath,11.54,6.46,8.72,2.82,2.5,SuperHit
923,923,Blank,8.6,6.45,7.6,1,30,Disaster
924,924,"Insidious: The Red Door",1060,6.43,21.4,535,1,None
925,925,"Furiosa: A Mad Max Saga",601.61,6.41,18.86,275,1,None
926,926,Chef,10.06,6.37,8.85,1.21,13,Disaster
927,927,"Calendar Girls",8.57,6.35,8.57,0,12,Flop
928,928,Dilwale,12,6.33,8.55,3.45,2,SuperHit
929,929,"Meg 2: The Trench",2680,6.3,23.1,2080,1,None
930,930,"Kung Fu Panda 4",4029.49,6.28,50.49,2515,1,None
931,931,"The Buckingham Murders",15.84,6.23,12.34,3.5,1,None
932,932,Maharaja,10.17,6.2,9.85,0.32,5.25,Average
933,933,Tejas,8.05,6.2,7.3,0.75,1,Disaster
934,934,Tezaab,16.35,6.17,11,5.35,1.5,Blockbuster
935,935,Haqeeqat,10.4,6.1,10.2,0.2,4,Average
936,936,"Damini – Lightning",11.4,6.1,11.03,0.37,2.5,Hit
937,937,"Phool Aur Kaante",11.5,6.1,11,0.5,2.5,SuperHit
938,938,Sadak,10.8,6.1,10.8,0,3,SuperHit
939,939,"Yeh Dil Aashiqanaa",9.54,6.08,9.37,0.17,4,Average
940,940,"Pyaar Impossible!",9.17,6.08,8.21,0.96,12,Flop
941,941,"Top Gun: Maverick",12250,5.98,51.04,12199,1300,Hit
942,942,Genius,7.5,5.97,7.1,0.4,30,Disaster
943,943,Sangharsh,10.55,5.97,7.8,2.75,4,Average
944,944,Jung,10.5,5.97,9,1.5,4.5,"Above Average"
945,945,Rudraksh,9.95,5.97,8.95,1,15,Disaster
946,946,Kuttey,8.47,5.91,6.97,1.5,50,Disaster
947,947,"Khichdi 2",5.25,5.9,5.25,0,1,None
948,948,Neeyat,6.9,5.79,6.9,0,1,None
949,949,"Khiladi 420",10.2,5.76,7.78,2.42,8,Flop
950,950,"Do Lafzon Ki Kahani",7.45,5.72,7.45,0,11,Flop
951,951,"Vaah! Life Ho Toh Aisi!",8.62,5.67,7.65,0.97,10,Flop
952,952,Hulchul,8.8,5.62,8.53,0.27,4,"Below Average"
953,953,Insaniyat,10.14,5.6,9.45,0.69,4,"Below Average"
954,954,Anari,10,5.6,10,0,2.75,Hit
955,955,Aarzoo,11.77,5.59,7.55,4.22,8,Flop
956,956,"Indian 2",148.9,5.55,95.9,53,1,None
957,957,Noor,NULL,5.52,0,NULL,1,None
958,958,"Stanley Ka Dabba",7.45,5.52,7.45,0,4,"Below Average"
959,959,Masoom,8.7,5.52,8.6,0.1,1.5,Hit
960,960,"Yeh Dillagi",10.7,5.51,10.23,0.47,2,Hit
961,961,Aflatoon,9.8,5.47,7.38,2.42,4.4,"Below Average"
962,962,Bobby,29.9,5.45,10.9,19,1.2,Blockbuster
963,963,"Mr. India",10.8,5.4,10.8,0,2,SuperHit
964,964,Mughal-e-Azam,10.8,5.4,10.8,0,0.6,"All Time Blockbuster"
965,965,"Dil Ka Rishta",13.41,5.36,7.42,5.99,8,Flop
966,966,"Rehnaa Hai Terre Dil Mein",10.21,5.36,8.23,1.98,5,"Below Average"
967,967,"Bewafa Sanam",7.41,5.36,7.32,0.09,1,SuperHit
968,968,"Yeh Hai Jalwa",9.57,5.32,7.68,1.89,7,Flop
969,969,"Sirf Tum",10.27,5.3,9.25,1.02,2,Hit
970,970,"Khichdi: The Movie",7.13,5.27,7.13,0,4,Average
971,971,Bangistan,8.4,5.27,7.11,1.29,25,Disaster
972,972,Style,7.89,5.23,7.84,0.05,2.5,"Above Average"
973,973,"Aunty No. 1",9.35,5.22,9.1,0.25,4,"Below Average"
974,974,"Hum Hain Rahi Pyar Ke",9.8,5.21,8.3,1.5,2.5,SuperHit
975,975,"Roti Kapda Aur Makaan",10.4,5.2,10.4,0,1.3,Blockbuster
976,976,"The Great Indian Family",6.1,5.17,6.1,0,1,None
977,977,"Lahu Ke Do Rang",9.35,5.15,6.95,2.4,5,Flop
978,978,"Andaz Apna Apna",7.59,5.15,7.1,0.49,3,Average
979,979,"Kyaa Dil Ne Kahaa",8,5.1,7,1,6,"Below Average"
980,980,"Ravan Raaj: A True Story",7.79,5.08,7.7,0.09,2.5,Hit
981,981,Baazi,7.71,4.98,7.4,0.31,3.25,"Below Average"
982,982,Notebook,6.6,4.97,6,0.6,20,Flop
983,983,Ghoomer,7.15,4.97,5.9,1.25,1,Disaster
984,984,"Ishq Vishk Rebound",5.85,4.97,5.85,0,1,None
985,985,"Indu Sarkar",6.88,4.95,6.88,0,1,None
986,986,"Game Over",16,4.87,14.7,1.3,20,"Below Average"
987,987,"Nil Battey Sannata",6.69,4.8,6.62,0.07,7,Flop
988,988,"The Zoya Factor",8.3,4.8,6.8,1.5,30,Disaster
989,989,Dobaaraa,1.1,4.79,5.65,0.15,1,None
990,990,Dasara,118.5,4.67,96.5,22,65,SuperHit
991,991,"Do Aur Do Pyaar",5.94,4.58,5.44,0.5,1,None
992,992,"Zamana Deewana",7.25,4.55,6.79,0.46,4,Flop
993,993,Elaan,8.6,4.55,8.5,0.1,1.5,Hit
994,994,"Tutak Tutak Tutiya",6.95,4.53,6.12,0.83,11,Flop
995,995,"Helicopter Eela",7.2,4.52,5.7,1.5,15,Flop
996,996,"Bol Radha Bol",8.2,4.5,8.2,0,2.5,Hit
997,997,"Tum Bin 2",6.8,4.48,6.05,0.75,15,Flop
998,998,Khuddar,7.4,4.36,7.29,0.11,1.5,"Above Average"
999,999,"Tum Bin - Love Will Find a Way",7.25,4.27,6.52,0.73,2.5,Average
1000,1000,"Taarzan: The Wonder Car",6.2,4.25,5.74,0.46,14,Disaster
